"term"	"name"	"nAnno"	"nOverlap"	"fc"	"zscore"	"pvalue"	"adjp"	"or"	"CIl"	"CIu"	"distance"	"namespace"	"members_Overlap"	"members_Anno"
"PID_IL27_PATHWAY"	"IL27-mediated signaling events"	26	3	17.7	6.9	2.3e-05	5.3e-05	20.4	3.86	69.2	""	"C2"	"IL12B, STAT2, TYK2"	"EBI3, GATA3, IFNG, IL12A, IL12B, IL12RB1, IL12RB2, IL17A, IL18, IL1B, IL2, IL27, IL27RA, IL6, IL6ST, JAK1, JAK2, STAT1, STAT2, STAT3, STAT4, STAT5A, TBX21, TGFB1, TNF, TYK2"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	56	4	10.9	6.04	3.1e-05	6.9e-05	12.1	3.13	34	""	"C2"	"HLA-B, HLA-C, ICAM1, ICAM4"	"B2M, C3, CD160, CD19, CD226, CD247, CD34, CD3D, CD3E, CD3G, CD40, CD40LG, CD81, CD8A, CD8B, CD96, CDH1, CRTAM, CXADR, FCGR2B, FCGR3A, HCST, HLA-A, HLA-B, HLA-C, HLA-F, HLA-G, ICAM1, ICAM2, ICAM3, ICAM4, IFITM1, ITGAL, ITGB1, ITGB2, ITGB7, JAML, KIR2DL1, KIR2DL3, KIR2DL4, KIR3DL1, KIR3DL2, KLRC1, KLRD1, KLRK1, LILRB2, LILRB4, NECTIN2, PVR, RAET1E, SELL, TYROBP, ULBP1, ULBP2, ULBP3, VCAM1"
"PID_INTEGRIN2_PATHWAY"	"Beta2 integrin cell surface interactions"	29	3	15.8	6.49	3.6e-05	7e-05	18	3.44	60.5	""	"C2"	"ICAM1, ICAM4, ITGAM"	"C3, CD40LG, CYR61, F10, F11R, FCGR2A, FGA, FGB, FGG, GP1BA, ICAM1, ICAM2, ICAM3, ICAM4, ITGAD, ITGAL, ITGAM, ITGAX, ITGB2, JAM3, KNG1, PLAT, PLAU, PLAUR, PROC, SPON2, TGFBI, THY1, VCAM1"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	"Cytokine Signaling in Immune system"	260	8	4.71	4.9	5e-05	9e-05	5.16	2.14	10.8	""	"C2"	"HLA-B, HLA-C, HLA-DRB1, ICAM1, IFNGR1, IL6R, STAT2, TYK2"	"AAAS, ADAM17, ADAR, ARIH1, B2M, BLNK, BTRC, CAMK2A, CAMK2B, CAMK2D, CASP1, CBL, CD44, CDK1, CHUK, CIITA, CISH, CRK, CRKL, CSF2, CSF2RA, CSF2RB, CSH1, CUL1, DDX58, EGR1, EIF2AK2, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3, FCGR1A, FCGR1B, FLNB, FYN, GAB2, GBP1, GBP2, GBP5, GBP7, GH1, GHR, GRB2, HCK, HERC5, HGF, HLA-A, HLA-B, HLA-C, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DRB1, HLA-DRB5, HLA-F, HLA-G, HRAS, ICAM1, IFI27, IFI35, IFI6, IFIT1, IFIT2, IFIT3, IFITM1, IFITM2, IFITM3, IFNA1, IFNA10, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNG, IFNGR1, IFNGR2, IKBKB, IKBKG, IL18, IL1A, IL1B, IL1R1, IL1R2, IL1RAP, IL1RN, IL2, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL5, IL5RA, IL6, IL6R, IL6ST, IL7, IL7R, INPPL1, IP6K2, IRAK1, IRAK2, IRAK3, IRAK4, IRF1, IRF2, IRF3, IRF4, IRF5, IRF6, IRF7, IRF8, IRF9, IRS1, IRS2, ISG15, ISG20, JAK1, JAK2, JAK3, KPNA1, KPNA2, KPNA3, KPNA4, KPNA5, KPNB1, KRAS, LCK, LYN, MAP2K1, MAP2K2, MAP2K4, MAP2K6, MAP3K3, MAP3K7, MAP3K8, MAPK1, MAPK3, MT2A, MX1, MX2, MYD88, NCAM1, NEDD4, NFKB2, NOD1, NOD2, NRAS, NUP107, NUP133, NUP153, NUP155, NUP188, NUP205, NUP210, NUP214, NUP35, NUP37, NUP43, NUP50, NUP54, NUP58, NUP62, NUP85, NUP88, NUP93, NUPL2, OAS1, OAS2, OAS3, OASL, PELI1, PELI2, PELI3, PIAS1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIN1, PLCG1, PML, POM121, PPM1B, PRKACB, PRKCD, PRL, PRLR, PSMB8, PTAFR, PTK2B, PTPN1, PTPN2, PTPN6, RAE1, RAF1, RANBP2, RAPGEF1, RBX1, RELA, RIPK2, RNASEL, RPS27A, SEH1L, SH2B1, SHC1, SKP1, SOCS1, SOCS2, SOCS3, SOS1, SP100, SQSTM1, STAT1, STAT2, STAT3, STAT5A, STAT5B, SUMO1, SYK, TAB1, TAB2, TAB3, TEC, TMEM189-UBE2V1, TNIP2, TOLLIP, TPR, TRAF6, TRIM25, TYK2, UBA52, UBA7, UBE2E1, UBE2L6, UBE2N, USP18, VAV1, VCAM1, XAF1, YES1, YWHAB, YWHAZ"
"PID_IL12_2PATHWAY"	"IL12-mediated signaling events"	63	4	9.73	5.63	5.6e-05	9.3e-05	10.7	2.77	29.7	""	"C2"	"HLA-DRA, HLA-DRB1, IL12B, TYK2"	"ATF2, B2M, CCL3, CCL4, CCR5, CD247, CD3D, CD3E, CD3G, CD4, CD8A, CD8B, EOMES, FASLG, FOS, GADD45B, GADD45G, GZMA, GZMB, HLA-A, HLA-DRA, HLA-DRB1, HLX, IFNG, IL12A, IL12B, IL12RB1, IL12RB2, IL18, IL18R1, IL18RAP, IL1B, IL1R1, IL2, IL2RA, IL2RB, IL2RG, IL4, JAK2, LCK, MAP2K3, MAP2K6, MAPK14, MTOR, NFKB1, NFKB2, NOS2, PPP3CA, PPP3CB, PPP3R1, RAB7A, RELA, RELB, RIPK2, SOCS1, SPHK2, STAT1, STAT3, STAT4, STAT5A, STAT6, TBX21, TYK2"
"KEGG_JAK_STAT_SIGNALING_PATHWAY"	"Jak-STAT signaling pathway"	154	6	5.97	5.02	6.6e-05	0.00011	6.5	2.29	15	"The Janus kinase/signal transducers and activators of transcription (JAK/STAT) pathway is one of a handful of pleiotropic cascades used to transduce a multitude of signals for development and homeostasis in animals, from humans to flies. In mammals, the JAK/STAT pathway is the principal signaling mechanism for a wide array of cytokines and growth factors. Following the binding of cytokines to their cognate receptor, STATs are activated by members of the JAK family of tyrosine kinases. Once activated, they dimerize and translocate to the nucleus and modulate the expression of target genes. In addition to the activation of STATs, JAKs mediate the recruitment of other molecules such as the MAP kinases, PI3 kinase etc. These molecules process downstream signals via the Ras-Raf-MAP kinase and PI3 kinase pathways which results in the activation of additional transcription factors."	"C2"	"IFNGR1, IL12B, IL23R, IL6R, STAT2, TYK2"	"AKT1, AKT2, AKT3, BCL2L1, CBL, CBLB, CBLC, CCND1, CCND2, CCND3, CISH, CLCF1, CNTF, CNTFR, CREBBP, CRLF2, CSF2, CSF2RA, CSF2RB, CSF3, CSF3R, CSH1, CTF1, EP300, EPO, EPOR, GH1, GHR, GRB2, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNE, IFNG, IFNGR1, IFNGR2, IFNK, IFNL1, IFNL2, IFNL3, IFNLR1, IFNW1, IL10, IL10RA, IL10RB, IL11, IL11RA, IL12A, IL12B, IL12RB1, IL12RB2, IL13, IL13RA1, IL13RA2, IL15, IL15RA, IL19, IL2, IL20, IL20RA, IL20RB, IL21, IL21R, IL22, IL22RA1, IL22RA2, IL23A, IL23R, IL24, IL26, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL4, IL4R, IL5, IL5RA, IL6, IL6R, IL6ST, IL7, IL7R, IL9, IL9R, IRF9, JAK1, JAK2, JAK3, LEP, LEPR, LIF, LIFR, MPL, MYC, OSM, OSMR, PIAS1, PIAS2, PIAS3, PIAS4, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIM1, PRL, PRLR, PTPN11, PTPN6, SOCS1, SOCS2, SOCS3, SOCS4, SOCS5, SOCS7, SOS1, SOS2, SPRED1, SPRED2, SPRY1, SPRY2, SPRY3, SPRY4, STAM, STAM2, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6, TPO, TSLP, TYK2"
"BIOCARTA_KERATINOCYTE_PATHWAY"	"Keratinocyte Differentiation"	45	3	10.2	5.02	0.00021	0.00029	11.2	2.18	35.9	"The epidermis, which provides a protective barrier that undergoes a constant renewal, is a multi-layered tissue with the proliferating cells located in the basal layer. As cells leave the basal layer the underog significant differentiation, biochemical and morphological remodeling. The final differentiation results in the formation of corneocytes. In vitro keratinocytes mimic this process. Several genes mark keratinocyte specific differentiation. Among the most frequently tracked markers are Transglutaminase, Cystatin and Involucrin. The keratinocyte differentiation studies have identified and provided significant detail regarding the involvement of three of the 4 major MAP kinase pathways from several diverse stimuli such as EGF, FAS, TNF and Calicium influx. The p38 cascade is represented twice since both p38alpha (p38) and p38delta (MAPK13) are involved. The keratinocyte differentiation cascased also provide for detailed study of the functions of individual PKC isoforms. It is interesting to note the contrasting functions of the PKC isoforms in this process. In recent studies it has been determined that the cPKC (conventional/classical Protein Kinase C) isoforms, which are calcium-, phospholipid-, and diacylglycerol-dependent are inhibitory where as the nPKC (novel Protein Kinase C) isoforms which are calcium independent are stimulatory for keratinocyte differentiation markers. On the right hand side is an earlier step showing the upregulation loop of TRAF2. This step occurs prior to the activation os ASK1 and the p38 cascade."	"C2"	"ETS2, FAS, TNFRSF1A"	"BCL2, CEBPA, CHUK, DAXX, EGF, EGFR, ETS1, ETS2, FAS, FASLG, FOS, HOXA7, HRAS, IKBKB, JUN, MAP2K1, MAP2K3, MAP2K4, MAP2K6, MAP2K7, MAP3K1, MAP3K5, MAPK1, MAPK13, MAPK14, MAPK3, MAPK8, NFKB1, NFKBIA, PPP2CA, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCQ, RAF1, RELA, RIPK1, SP1, TNF, TNFRSF1A, TNFRSF1B, TRAF2"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE"	"Hematopoietic cell lineage"	85	4	7.21	4.65	0.00023	0.00031	7.78	2.03	21.4	"Blood-cell development progresses from a hematopoietic stem cell (HSC), which can undergo either self-renewal or differentiation into a multilineage committed progenitor cell: a common lymphoid progenitor (CLP) or a common myeloid progenitor (CMP). A CLP gives rise to the lymphoid lineage of white blood cells or leukocytes-the natural killer (NK) cells and the T and B lymphocytes. A CMP gives rise to the myeloid lineage, which comprises the rest of the leukocytes, the erythrocytes (red blood cells), and the megakaryocytes that produce platelets important in blood clotting. Cells undergoing these differentiation process express a stage- and lineage-specific set of surface markers. Therefore cellular stages are identified by the specific expression patterns of these genes."	"C2"	"HLA-DRA, HLA-DRB1, IL6R, ITGAM"	"ANPEP, CD14, CD19, CD1A, CD1B, CD1C, CD1D, CD1E, CD2, CD22, CD33, CD34, CD36, CD37, CD38, CD3D, CD3E, CD3G, CD4, CD44, CD5, CD55, CD59, CD7, CD8A, CD8B, CD9, CR1, CR2, CSF1, CSF1R, CSF2, CSF2RA, CSF3, CSF3R, DNTT, EPO, EPOR, FCER2, FCGR1A, FLT3, FLT3LG, GP1BA, GP1BB, GP5, GP9, GYPA, HLA-DRA, HLA-DRB1, HLA-DRB5, IL11, IL11RA, IL1A, IL1B, IL1R1, IL1R2, IL2RA, IL3, IL3RA, IL4, IL4R, IL5, IL5RA, IL6, IL6R, IL7, IL7R, IL9R, ITGA1, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGAM, ITGB3, KIT, KITLG, MME, MS4A1, TFRC, THPO, TNF, TPO"
"REACTOME_IMMUNE_SYSTEM"	"Immune System"	859	14	2.5	3.66	0.00044	0.00057	2.77	1.45	4.93	""	"C2"	"ERAP1, HLA-B, HLA-C, HLA-DRB1, ICAM1, ICAM4, IFIH1, IFNGR1, IL6R, LNPEP, REL, STAT2, TNFAIP3, TYK2"	"AAAS, ACTR1A, ACTR1B, ADAM17, ADAR, AGER, AIM2, AKT1, AKT1S1, AKT2, AKT3, ANAPC1, ANAPC10, ANAPC11, ANAPC13, ANAPC2, ANAPC4, ANAPC5, ANAPC7, AP1B1, AP1G1, AP1M1, AP1M2, AP1S1, AP1S2, AP2A1, AP2A2, AP2B1, AP2M1, AP2S1, APP, ARF1, ARIH1, ARIH2, ART1, ASB1, ASB2, ASB3, ASB4, ASB6, ASB7, ASB8, ASB9, ATF1, ATF2, ATG12, ATG5, ATG7, B2M, BAD, BCL10, BCL2, BCL2L1, BIRC2, BIRC3, BLK, BLMH, BLNK, BTK, BTLA, BTRC, C1QA, C1QB, C1QC, C1S, C2, C3, C4A, C4BPA, C4BPB, C5, C6, C7, C8A, C8B, C8G, C9, CALM1, CALM3, CALR, CAMK2A, CAMK2B, CAMK2D, CANX, CAPZA1, CAPZA2, CARD11, CARD9, CASP1, CASP10, CASP2, CASP4, CASP8, CASP9, CBL, CBLB, CCR2, CCR6, CD14, CD160, CD180, CD19, CD207, CD226, CD247, CD274, CD28, CD34, CD36, CD3D, CD3E, CD3G, CD4, CD40, CD40LG, CD44, CD46, CD55, CD74, CD79A, CD79B, CD80, CD81, CD86, CD8A, CD8B, CD96, CDC16, CDC20, CDC23, CDC26, CDC27, CDC34, CDC42, CDH1, CDK1, CDKN1A, CDKN1B, CFB, CFD, CFH, CFHR3, CFI, CHUK, CIITA, CISH, CLTA, CLTC, CNPY3, CR1, CREB1, CREBBP, CRK, CRKL, CRP, CRTAM, CSF2, CSF2RA, CSF2RB, CSH1, CSK, CTSA, CTSB, CTSC, CTSD, CTSF, CTSH, CTSK, CTSL, CTSO, CTSS, CTSV, CUL1, CUL2, CUL3, CUL5, CUL7, CXADR, CYBA, CYBB, CYLD, DCAF1, DCTN1, DCTN2, DCTN3, DCTN4, DCTN5, DCTN6, DDOST, DDX58, DEFA3, DEFA4, DEFA5, DEFA6, DEFB1, DEFB103B, DEFB104A, DEFB105A, DEFB106A, DEFB107A, DEFB108B, DEFB110, DEFB112, DEFB118, DEFB119, DEFB121, DEFB123, DEFB125, DEFB126, DEFB127, DEFB128, DEFB129, DEFB131A, DEFB132, DEFB134, DEFB135, DEFB4A, DET1, DHX58, DNM1, DNM2, DTX3L, DUSP3, DUSP4, DUSP6, DUSP7, DYNC1H1, DYNC1I1, DYNC1I2, DYNC1LI2, DYNC2H1, DYNC2LI1, DYNLL1, DYNLL2, DZIP3, ECSIT, EEA1, EGR1, EIF2AK2, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3, ELK1, ELOB, ELOC, ENAH, EP300, ERAP1, EVL, FADD, FBXO17, FBXO2, FBXO27, FBXO3, FBXO4, FBXO44, FBXO6, FBXW11, FBXW7, FBXW8, FCGR1A, FCGR1B, FCGR2B, FCGR3A, FLNB, FOS, FOXO1, FOXO3, FOXO4, FYB, FYN, GAB2, GAN, GBP1, GBP2, GBP5, GBP7, GH1, GHR, GRAP2, GRB2, GSK3A, HCK, HCST, HECTD3, HERC2, HERC5, HGF, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DRB1, HLA-DRB5, HLA-F, HLA-G, HMGB1, HRAS, HSP90AB1, HSP90B1, HSPA5, HUWE1, ICAM1, ICAM2, ICAM3, ICAM4, ICOS, ICOSLG, IFI27, IFI35, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM1, IFITM2, IFITM3, IFNA1, IFNA10, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNG, IFNGR1, IFNGR2, IKBKB, IKBKE, IKBKG, IL18, IL1A, IL1B, IL1R1, IL1R2, IL1RAP, IL1RN, IL2, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL5, IL5RA, IL6, IL6R, IL6ST, IL7, IL7R, INPPL1, IP6K2, IRAK1, IRAK2, IRAK3, IRAK4, IRF1, IRF2, IRF3, IRF4, IRF5, IRF6, IRF7, IRF8, IRF9, IRS1, IRS2, ISG15, ISG20, ITGAL, ITGAV, ITGB1, ITGB2, ITGB5, ITGB7, ITK, ITPR2, ITPR3, JAK1, JAK2, JAK3, JAML, JUN, KEAP1, KIF11, KIF15, KIF18A, KIF20A, KIF22, KIF23, KIF26A, KIF2A, KIF2B, KIF2C, KIF3B, KIF3C, KIF4A, KIF4B, KIF5A, KIF5B, KIFAP3, KIR2DL1, KIR2DL3, KIR2DL4, KIR3DL1, KIR3DL2, KLC1, KLC2, KLC3, KLC4, KLHL13, KLHL20, KLHL9, KLRC1, KLRD1, KLRK1, KPNA1, KPNA2, KPNA3, KPNA4, KPNA5, KPNB1, KRAS, LAT, LBP, LCK, LCP2, LGALS3, LGMN, LILRB2, LILRB4, LNPEP, LRR1, LRRC41, LRSAM1, LY86, LY96, LYN, MALT1, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAP2K6, MAP2K7, MAP3K1, MAP3K3, MAP3K7, MAP3K8, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAP1, MAPKAPK2, MAPKAPK3, MASP1, MASP2, MAVS, MBL2, MDM2, MEF2A, MEF2C, MEFV, MKRN1, MLST8, MRC1, MT2A, MTOR, MX1, MX2, MYD88, NCAM1, NCF2, NCF4, NCK1, NECTIN2, NEDD4, NFKB2, NFKBIA, NFKBIB, NFKBIE, NLRC4, NLRC5, NLRP1, NLRP3, NLRX1, NOD1, NOD2, NPEPPS, NR4A1, NRAS, NUP107, NUP133, NUP153, NUP155, NUP188, NUP205, NUP210, NUP214, NUP35, NUP37, NUP43, NUP50, NUP54, NUP58, NUP62, NUP85, NUP88, NUP93, NUPL2, OAS1, OAS2, OAS3, OASL, ORAI1, OSBPL1A, OTUD5, P2RX7, PAG1, PAK1, PAK2, PANX1, PCBP2, PDCD1, PDCD1LG2, PDIA3, PDPK1, PELI1, PELI2, PELI3, PHLPP1, PIAS1, PIK3AP1, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4, PIN1, PJA1, PJA2, PLCG1, PLCG2, PML, POM121, PPM1B, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PRKACA, PRKACB, PRKACG, PRKCB, PRKCD, PRKCQ, PRKCSH, PRKG1, PRKN, PRL, PRLR, PROS1, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD10, PSMD11, PSMD12, PSMD13, PSMD14, PSMD2, PSMD3, PSMD4, PSMD5, PSMD6, PSMD7, PSMD8, PSMD9, PSME1, PSME2, PSME4, PSMF1, PSTPIP1, PTAFR, PTEN, PTK2B, PTPN1, PTPN2, PTPN6, PTPRC, PVR, PYCARD, RAB7A, RAC1, RACGAP1, RAE1, RAET1E, RAF1, RANBP2, RAP1A, RAP1B, RAP1GAP, RAP1GAP2, RAPGEF1, RAPGEF3, RAPGEF4, RASGRP1, RASGRP2, RASGRP3, RBCK1, RBSN, RBX1, RCHY1, REL, RELA, RICTOR, RILP, RIPK1, RIPK2, RIPK3, RNASEL, RNF123, RNF125, RNF135, RNF138, RNF144B, RNF182, RNF220, RNF25, RNF34, RNF4, RNF41, RNF6, RPS27A, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA5, RPS6KB2, S100A12, S100B, SAA1, SAE1, SAR1B, SEC13, SEC23A, SEC24B, SEC24C, SEC24D, SEC31A, SEC61A1, SEC61A2, SEC61B, SEC61G, SEH1L, SELL, SH2B1, SH3GL2, SH3KBP1, SHC1, SIGIRR, SIKE1, SIPA1, SKP1, SKP2, SMURF1, SMURF2, SOCS1, SOCS2, SOCS3, SOS1, SP100, SPSB1, SPSB2, SPSB4, SPTBN2, SQSTM1, SRC, STAT1, STAT2, STAT3, STAT5A, STAT5B, STIM1, STUB1, SUMO1, SYK, TAB1, TAB2, TAB3, TANK, TAP1, TAP2, TAX1BP1, TBK1, TEC, THEM4, TICAM1, TICAM2, TIRAP, TKFC, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TMEM189-UBE2V1, TNFAIP3, TNFRSF14, TNIP2, TOLLIP, TPP2, TPR, TRAF2, TRAF3, TRAF6, TRAT1, TRIB3, TRIM11, TRIM21, TRIM25, TRIM32, TRIM37, TRIM63, TRIM9, TRIP12, TSC2, TXN, TXNIP, TYK2, TYROBP, UBA1, UBA2, UBA3, UBA5, UBA52, UBA6, UBA7, UBE2A, UBE2B, UBE2C, UBE2D1, UBE2D2, UBE2D3, UBE2D4, UBE2E1, UBE2E2, UBE2E3, UBE2F, UBE2G1, UBE2G2, UBE2H, UBE2J1, UBE2J2, UBE2K, UBE2L3, UBE2L6, UBE2M, UBE2N, UBE2O, UBE2Q1, UBE2Q2, UBE2R2, UBE2S, UBE2U, UBE2V2, UBE2W, UBE2Z, UBE3A, UBE3B, UBE3C, UBE4A, UBOX5, UBR1, UBR2, UBR4, ULBP1, ULBP2, ULBP3, UNC93B1, USP18, VASP, VAV1, VCAM1, VHL, WAS, WSB1, WWP1, XAF1, YES1, YWHAB, YWHAZ, ZAP70, ZBP1, ZBTB16"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION"	"Antigen processing-Cross presentation"	71	3	6.47	3.75	0.0012	0.0015	6.89	1.36	21.6	""	"C2"	"HLA-B, HLA-C, LNPEP"	"B2M, CALR, CD207, CD36, CTSS, CYBA, CYBB, FCGR1A, FCGR1B, HLA-A, HLA-B, HLA-C, HLA-F, HLA-G, ITGAV, ITGB5, LNPEP, MRC1, NCF2, NCF4, PDIA3, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD10, PSMD11, PSMD12, PSMD13, PSMD14, PSMD2, PSMD3, PSMD4, PSMD5, PSMD6, PSMD7, PSMD8, PSMD9, PSME1, PSME2, PSME4, PSMF1, RPS27A, SEC61A1, SEC61A2, SEC61B, SEC61G, TAP1, TAP2, UBA52"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION"	"Cytokine-cytokine receptor interaction"	259	6	3.55	3.35	0.0015	0.0018	3.78	1.34	8.64	"Cytokines are soluble extracellular proteins or glycoproteins that are crucial intercellular regulators and mobilizers of cells engaged in innate as well as adaptive inflammatory host defenses, cell growth, differentiation, cell death, angiogenesis, and development and repair processes aimed at the restoration of homeostasis. Cytokines are released by various cells in the body, usually in response to an activating stimulus, and they induce responses through binding to specific receptors on the cell surface of target cells. Cytokines can be grouped by structure into different families and their receptors can likewise be grouped."	"C2"	"FAS, IFNGR1, IL12B, IL23R, IL6R, TNFRSF1A"	"ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, AMH, AMHR2, BMP2, BMP7, BMPR1A, BMPR1B, BMPR2, CCL1, CCL11, CCL13, CCL14, CCL15, CCL16, CCL17, CCL18, CCL19, CCL2, CCL20, CCL21, CCL22, CCL23, CCL25, CCL27, CCL28, CCL3, CCL3L1, CCL4, CCL4L2, CCL5, CCL7, CCL8, CCR1, CCR10, CCR2, CCR3, CCR4, CCR5, CCR6, CCR7, CCR8, CCR9, CD27, CD40, CD40LG, CD70, CLCF1, CNTF, CNTFR, CRLF2, CSF1, CSF1R, CSF2, CSF2RA, CSF2RB, CSF3, CSF3R, CTF1, CX3CL1, CX3CR1, CXCL1, CXCL10, CXCL11, CXCL12, CXCL13, CXCL14, CXCL16, CXCL2, CXCL3, CXCL5, CXCL6, CXCL8, CXCL9, CXCR1, CXCR2, CXCR3, CXCR4, CXCR5, CXCR6, EDA, EDA2R, EDAR, EGF, EGFR, EPO, EPOR, FAS, FASLG, FLT1, FLT3, FLT3LG, FLT4, GDF5, GH1, GHR, HGF, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNE, IFNG, IFNGR1, IFNGR2, IFNK, IFNL1, IFNL2, IFNL3, IFNLR1, IFNW1, IL10, IL10RA, IL10RB, IL11, IL11RA, IL12A, IL12B, IL12RB1, IL12RB2, IL13, IL13RA1, IL15, IL15RA, IL17A, IL17B, IL17RA, IL17RB, IL18, IL18R1, IL18RAP, IL19, IL1A, IL1B, IL1R1, IL1R2, IL1RAP, IL2, IL20, IL20RA, IL20RB, IL21, IL21R, IL22, IL22RA1, IL22RA2, IL23A, IL23R, IL24, IL25, IL26, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL4, IL4R, IL5, IL5RA, IL6, IL6R, IL6ST, IL7, IL7R, IL9, IL9R, INHBA, INHBB, INHBC, INHBE, KDR, KIT, KITLG, LEP, LEPR, LIF, LIFR, LTA, LTB, LTBR, MET, MPL, NGFR, OSM, OSMR, PDGFA, PDGFB, PDGFC, PDGFRA, PDGFRB, PF4, PF4V1, PLEKHO2, PPBP, PRL, PRLR, RELT, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, TNF, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF10D, TNFRSF11A, TNFRSF11B, TNFRSF12A, TNFRSF13B, TNFRSF13C, TNFRSF14, TNFRSF17, TNFRSF18, TNFRSF19, TNFRSF1A, TNFRSF1B, TNFRSF21, TNFRSF25, TNFRSF4, TNFRSF6B, TNFRSF8, TNFRSF9, TNFSF10, TNFSF11, TNFSF13, TNFSF13B, TNFSF14, TNFSF15, TNFSF18, TNFSF4, TNFSF8, TNFSF9, TPO, TSLP, VEGFA, VEGFB, VEGFC, VEGFD, XCL1, XCL2, XCR1"
